,ivtU_max,ivtU_mean,ivtV_max,ivtV_mean,rain,year
2007-07-22,131.734048762,95.4006865474,69.4811693593,57.4853256816,30.7,2007
2007-07-23,259.48987971,197.405005008,202.836490568,99.7447349715,2.4,2007
2007-08-06,-21.4546731778,5.51536196543,189.22790462,132.394703792,2.0,2007
2007-08-07,305.952270839,174.806158165,-54.6704786025,25.6679257558,31.0,2007
2007-08-12,171.470952456,81.1690685478,-285.824502041,-142.303713196,34.4,2007
2007-08-13,384.511217468,269.57511412,-437.568079319,-336.307120176,34.0,2007
2007-08-14,357.215066415,214.49815089,-333.607076433,-141.9727574,6.4,2007
2007-08-23,129.12927762,108.717916042,-23.5165332248,-13.697273502,6.0,2007
2007-08-25,42.9955672773,10.7691733771,110.956627674,91.6802476772,2.4,2007
2007-08-27,205.534419307,91.335728178,45.4526319586,79.5166897557,2.4,2007
2007-09-03,330.169292514,196.973048164,-382.823801915,-259.611187967,11.8,2007
2007-09-08,125.710347517,141.287656984,-373.922716224,-243.561576008,8.8,2007
2007-09-09,117.948461581,84.9036787535,-426.280616459,-275.512636317,19.6,2007
2007-09-18,34.9611951956,28.4077132231,-42.7600768174,-26.8951200871,1.2,2007
2007-09-19,124.527532205,69.7260291899,-170.795659443,-94.6258892266,12.0,2007
2007-09-20,124.527532205,118.739123147,-170.795659443,-47.9300859319,4.2,2007
2007-10-13,152.618727976,80.6325410885,33.2046387365,32.1687556874,6.5,2007
2007-10-18,168.902324455,113.584365216,108.700138302,102.144188598,1.0,2007
2007-10-19,465.308483415,204.83176905,-67.7930236927,-7.31123463904,18.3,2007
2007-10-24,114.240663375,59.2993126446,-161.941815715,-96.9113526344,4.7,2007
2007-10-28,169.625607041,109.051521982,45.6768654045,29.2835033467,1.0,2007
2007-11-08,41.1082544949,58.2511768367,147.53505021,80.2298957153,1.4,2007
2007-11-16,207.509170471,117.291810633,-169.754889097,-73.1408745499,1.3,2007
2007-11-17,236.039030494,165.279291802,-180.010921298,-115.008913457,1.3,2007
2007-12-06,397.799503562,147.410399177,154.705977402,117.489590024,22.2,2007
2007-12-09,120.777970622,49.3487548728,6.6865523815,41.4618632172,2.2,2007
2008-01-09,289.397287522,244.025637323,25.6610848614,22.1725527366,3.6,2008
2008-02-29,231.643828213,132.931199083,-143.513926098,-48.0687408085,2.0,2008
2008-03-01,395.306534674,279.508728324,-210.480065292,-128.58348261,1.2,2008
2008-03-14,-12.7414517379,11.5672558597,34.1665592477,20.8896518551,2.6,2008
2008-04-05,96.4760945685,104.759740197,267.723235109,200.744295481,3.0,2008
2008-04-10,314.451219243,149.53031859,-69.9904918645,-4.32351379338,38.0,2008
2008-04-26,57.664677952,34.1217598792,-23.7616895354,7.97112684512,2.8,2008
2008-04-27,308.898655398,183.849696999,-120.49214186,-68.2068052676,8.4,2008
